Abkürzung,Beschreibung
Nr.,fortlaufende Nummer des gesamten Textkorpus
Jahr,"Jahr der Ersterscheinung bzw. Abfassung, soweit ermittelbar. (Gelegentlich führt das zu Korrekturen von Schmids Angaben.)"
schm,Nummer aus Schmids »Litteratur des bürgerlichen Trauerspiels«
+,Text in Schmids Listen ausländischer Texte enthalten
–,nicht in Schmids »Litteratur des bürgerlichen Trauerspiels« enthalten
?,"Keine Angaben zur bibliographischen, typologischen oder gattungssystematischen Bestimmung"
Tr.,Trauerspiel
bgl. Tr.,bürgerliches Trauerspiel
her. Tr.,heroisches Trauerspiel
Ssp.,Schauspiel
Lsp.,Lustspiel
hist. Dr.,historisches Drama
Rit.ssp.,Ritterschauspiel
A.,Aufzug/Akt
H.,Handlung i. S. von Akt
Jus,Kontextreferenz auf zeitgenössische Rechtssprechung
Päd.,Kontextreferenz auf zeitgenössische Pädagogik
Theol.,Kontextreferenz auf zeitgenössische Theologie
(R),Roman als Textvorlage
E,intertextueller Bezug auf Lessings »Emilia Galotti«
S,intertextueller Bezug auf Lessings »Miß Sara Sampson«
W,intertextueller Bezug auf Goethes »Werther«
K+L,intertextueller Bezug auf Schillers »Kabale und Liebe«
